frame_id,captured_at,source_width,status,shift_feature_px,applied_shift_px,score,margin,band_disagreement_px,inlier_tile_count,confidence,crop_path,error
2025_1228_120000,2025-12-28T12:00:00,8244,accepted,43,692,0.6672323630066775,0.14800430770579664,0,8,0.8128182041912562,adjusted-crops/2025_1228_120000.jpg,
2026_0107_120000,2026-01-07T12:00:00,8244,accepted,43,692,0.6702454880337791,0.15785243346151578,0,8,0.8145130870190007,adjusted-crops/2026_0107_120000.jpg,
2026_0117_120000,2026-01-17T12:00:00,8244,accepted,43,692,0.6592136680634056,0.0971283477955478,2,8,0.7708076882856656,adjusted-crops/2026_0117_120000.jpg,
2026_0127_120000,2026-01-27T12:00:00,8244,accepted,43,692,0.6990536746632153,0.17164905782059225,0,8,0.8307176919980586,adjusted-crops/2026_0127_120000.jpg,
2026_0207_120000,2026-02-07T12:00:00,8244,accepted,43,692,0.6323364585228509,0.09731121835574597,0,8,0.7931892579191038,adjusted-crops/2026_0207_120000.jpg,
2026_0217_120000,2026-02-17T12:00:00,8244,accepted,43,692,0.5580230049928421,0.1580724517114927,0,7,0.7263879403084738,adjusted-crops/2026_0217_120000.jpg,
2026_0303_120000,2026-03-03T12:00:00,8244,accepted,43,692,0.6703894533438364,0.16498137839719662,0,8,0.814594067505908,adjusted-crops/2026_0303_120000.jpg,
2026_0313_120000,2026-03-13T12:00:00,8244,rejected,20,,0.29212367274304424,0.007200501483276889,154,7,0,,
2026_0324_120000,2026-03-24T12:00:00,8244,accepted,43,692,0.6713270894404384,0.14305194452147452,0,8,0.8151214878102466,adjusted-crops/2026_0324_120000.jpg,
2026_0403_120000,2026-04-03T12:00:00,8244,accepted,43,692,0.7392400471235456,0.18608805553296548,0,8,0.8533225265069946,adjusted-crops/2026_0403_120000.jpg,
2026_0413_120000,2026-04-13T12:00:00,8244,accepted,43,692,0.6564273786410509,0.14874736212511275,0,8,0.8067404004855911,adjusted-crops/2026_0413_120000.jpg,
2026_0423_120000,2026-04-23T12:00:00,8244,accepted,43,692,0.6936354342125969,0.15548062978007038,0,8,0.8276699317445857,adjusted-crops/2026_0423_120000.jpg,
2026_0504_120000,2026-05-04T12:00:00,8244,accepted,43,692,0.755942113672799,0.18991054485847458,0,8,0.8627174389409493,adjusted-crops/2026_0504_120000.jpg,
2026_0514_120000,2026-05-14T12:00:00,8244,accepted,0,0,0.7450176264107814,0.18459454296419675,0,8,0.8565724148560645,adjusted-crops/2026_0514_120000.jpg,
2026_0524_120000,2026-05-24T12:00:00,8244,rejected,-192,,0.22893550952019504,0.07225198715566167,209,5,0,,
2026_0603_120000,2026-06-03T12:00:00,8244,accepted,43,692,0.7115296721869946,0.15827025081017365,0,8,0.8377354406051845,adjusted-crops/2026_0603_120000.jpg,
2026_0614_120000,2026-06-14T12:00:00,8244,accepted,43,692,0.7280852251373733,0.179916248617651,0,8,0.8470479391397725,adjusted-crops/2026_0614_120000.jpg,
2026_0624_120000,2026-06-24T12:00:00,8244,accepted,43,692,0.6924026046960042,0.18041522681443922,0,8,0.8269764651415024,adjusted-crops/2026_0624_120000.jpg,
2026_0708_120000,2026-07-08T12:00:00,8244,accepted,43,692,0.6601147445037302,0.14045619446255198,0,8,0.8088145437833483,adjusted-crops/2026_0708_120000.jpg,
2026_0718_120000,2026-07-18T12:00:00,8244,accepted,43,692,0.7408899089561527,0.19189891356177424,0,8,0.8542505737878359,adjusted-crops/2026_0718_120000.jpg,
2026_0729_120000,2026-07-29T12:00:00,8244,accepted,43,692,0.7283875916380506,0.17561790020886825,0,8,0.8472180202964035,adjusted-crops/2026_0729_120000.jpg,
2026_0808_120000,2026-08-08T12:00:00,8244,accepted,43,692,0.71728575520939,0.15507956883533258,0,8,0.8409732373052818,adjusted-crops/2026_0808_120000.jpg,
2026_0818_120000,2026-08-18T12:00:00,8244,accepted,43,692,0.7241666451940686,0.16236742564571072,0,8,0.8448437379216636,adjusted-crops/2026_0818_120000.jpg,
